text,label
"the rock is destined to be the 21st century's new "" conan "" and that he's going to make a splash even greater than arnold schwarzenegger , jean-claud van damme or steven segal .",1
"the gorgeously elaborate continuation of "" the lord of the rings "" trilogy is so huge that a column of words cannot adequately describe co-writer/director peter jackson's expanded vision of j . r . r . tolkien's middle-earth .",1
effective but too-tepid biopic,1
"if you sometimes like to go to the movies to have fun , wasabi is a good place to start .",1
"emerges as something rare , an issue movie that's so honest and keenly observed that it doesn't feel like one .",1
the film provides some great insight into the neurotic mindset of all comics -- even those who have reached the absolute top of the game .,1
offers that rare combination of entertainment and education .,1
perhaps no picture ever made has more literally showed that the road to hell is paved with good intentions .,1
steers turns in a snappy screenplay that curls at the edges ; it's so clever you want to hate it . but he somehow pulls it off .,1
take care of my cat offers a refreshingly different slice of asian cinema .,1
"this is a film well worth seeing , talking and singing heads and all .",1
what really surprises about wisegirls is its low-key quality and genuine tenderness .,1
"( wendigo is ) why we go to the cinema : to be fed through the eye , the heart , the mind .",1
"one of the greatest family-oriented , fantasy-adventure movies ever .",1
"ultimately , it ponders the reasons we need stories so much .",1
an utterly compelling 'who wrote it' in which the reputation of the most famous author who ever lived comes into question .,1
illuminating if overly talky documentary .,1
a masterpiece four years in the making .,1
"the movie's ripe , enrapturing beauty will tempt those willing to probe its inscrutable mysteries .",1
offers a breath of the fresh air of true sophistication .,1
"a thoughtful , provocative , insistently humanizing film .",1
"with a cast that includes some of the top actors working in independent film , lovely & amazing involves us because it is so incisive , so bleakly amusing about how we go about our lives .",1
a disturbing and frighteningly evocative assembly of imagery and hypnotic music composed by philip glass .,1
"not for everyone , but for those with whom it will connect , it's a nice departure from standard moviegoing fare .",1
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1
"occasionally melodramatic , it's also extremely effective .",1
spiderman rocks,1
an idealistic love story that brings out the latent 15-year-old romantic in everyone .,1
"at about 95 minutes , treasure planet maintains a brisk pace as it races through the familiar story . however , it lacks grandeur and that epic quality often associated with stevenson's tale as well as with earlier disney efforts .",1
it helps that lil bow wow . . . tones down his pint-sized gangsta act to play someone who resembles a real kid .,1
"guaranteed to move anyone who ever shook , rattled , or rolled .",1
"a masterful film from a master filmmaker , unique in its deceptive grimness , compelling in its fatalist worldview .",1
"light , cute and forgettable .",1
"if there's a way to effectively teach kids about the dangers of drugs , i think it's in projects like the ( unfortunately r-rated ) paid .",1
"while it would be easy to give crush the new title of two weddings and a funeral , it's a far more thoughtful film than any slice of hugh grant whimsy .",1
"though everything might be literate and smart , it never took off and always seemed static .",1
"cantet perfectly captures the hotel lobbies , two-lane highways , and roadside cafes that permeate vincent's days",1
"ms . fulford-wierzbicki is almost spooky in her sulky , calculating lolita turn .",1
"though it is by no means his best work , laissez-passer is a distinguished and distinctive effort by a bona-fide master , a fascinating film replete with rewards to be had by all willing to make the effort to reap them .",1
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike . a heavy reliance on cgi technology is beginning to creep into the series .",1
"newton draws our attention like a magnet , and acts circles around her better known co-star , mark wahlberg .",1
"the story loses its bite in a last-minute happy ending that's even less plausible than the rest of the picture . much of the way , though , this is a refreshingly novel ride .",1
fuller would surely have called this gutsy and at times exhilarating movie a great yarn .,1
"'compleja e intelectualmente retadora , el ladrón de orquídeas es uno de esos filmes que vale la pena ver precisamente por su originalidad . '",1
the film makes a strong case for the importance of the musicians in creating the motown sound .,1
"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat .",1
gosling provides an amazing performance that dwarfs everything else in the film .,1
"a real movie , about real people , that gives us a rare glimpse into a culture most of us don't know .",1
tender yet lacerating and darkly funny fable .,1
may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today .,1
an engaging overview of johnson's eccentric career .,1
"in its ragged , cheap and unassuming way , the movie works .",1
some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors .,1
"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open .",1
"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart .",1
"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse .",1
"manages to be original , even though it rips off many of its ideas .",1
"singer/composer bryan adams contributes a slew of songs  a few potential hits , a few more simply intrusive to the story  but the whole package certainly captures the intended , er , spirit of the piece .",1
you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here .,1
"whether or not you're enlightened by any of derrida's lectures on "" the other "" and "" the self , "" derrida is an undeniably fascinating and playful fellow .",1
"a pleasant enough movie , held together by skilled ensemble actors .",1
this is the best american movie about troubled teens since 1998's whatever .,1
disney has always been hit-or-miss when bringing beloved kids' books to the screen . . . tuck everlasting is a little of both .,1
